Time,Substrate
0,4.90909
0.01,4.81833
0.02,4.72774
0.03,4.6373
0.04,4.54703
0.05,4.45694
0.06,4.36703
0.07,4.2773
0.08,4.18777
0.09,4.09843
0.1,4.00931
0.11,3.92039
0.12,3.8317
0.13,3.74325
0.14,3.65503
0.15,3.56706
0.16,3.47936
0.17,3.39192
0.18,3.30477
0.19,3.21791
0.2,3.13136
0.21,3.04513
0.22,2.95923
0.23,2.87369
0.24,2.78851
0.25,2.70371
0.26,2.61932
0.27,2.53535
0.28,2.45182
0.29,2.36876
0.3,2.28619
0.31,2.20413
0.32,2.12262
0.33,2.04169
0.34,1.96136
0.35,1.88168
0.36,1.80267
0.37,1.72438
0.38,1.64686
0.39,1.57015
0.4,1.4943
0.41,1.41938
0.42,1.34543
0.43,1.27252
0.44,1.20073
0.45,1.13013
0.46,1.0608
0.47,0.992834
0.48,0.926328
0.49,0.861383
0.5,0.79811
0.51,0.736628
0.52,0.67706
0.53,0.619539
0.54,0.5642
0.55,0.511184
0.56,0.460631
0.57,0.41268
0.58,0.367464
0.59,0.325103
0.6,0.285701
0.61,0.249339
0.62,0.216064
0.63,0.18589
0.64,0.158788
0.65,0.134685
0.66,0.113464
0.67,0.0949688
0.68,0.0790068
0.69,0.0653616
0.7,0.0538006
0.71,0.0440858
0.72,0.035983
0.73,0.0292696
0.74,0.0237394
0.75,0.0192067
0.76,0.0155075
0.77,0.0124993
0.78,0.0100604
0.79,0.008088
0.8,0.00649615
0.81,0.00521358
0.82,0.00418163
0.83,0.00335224
0.84,0.00268626
0.85,0.00215188
0.86,0.00172334
0.87,0.00137986
0.88,0.00110465
0.89,0.000884205
0.9,0.000707676
0.91,0.000566341
0.92,0.000453201
0.93,0.000362643
0.94,0.000290167
0.95,0.000232167
0.96,0.000185755
0.97,0.000148618
0.98,0.000118903
0.99,9.51282e-005
1,7.61062e-005
1.01,6.08873e-005
1.02,4.87113e-005
1.03,3.897e-005
1.04,3.11766e-005
1.05,2.49417e-005
1.06,1.99536e-005
1.07,1.5963e-005
1.08,1.27705e-005
1.09,1.02165e-005
1.1,8.17323e-006
1.11,6.53861e-006
1.12,5.2309e-006
1.13,4.18473e-006
1.14,3.34779e-006
1.15,2.67824e-006
1.16,2.1426e-006
1.17,1.71408e-006
1.18,1.37126e-006
1.19,1.09701e-006
1.2,8.7761e-007
1.21,7.02088e-007
1.22,5.61671e-007
1.23,4.49337e-007
1.24,3.59469e-007
1.25,2.87576e-007
1.26,2.3006e-007
1.27,1.84048e-007
1.28,1.47239e-007
1.29,1.17791e-007
1.3,9.42328e-008
1.31,7.53863e-008
1.32,6.0309e-008
1.33,4.82472e-008
1.34,3.85978e-008
1.35,3.08782e-008
1.36,2.47026e-008
1.37,1.97621e-008
1.38,1.58096e-008
1.39,1.26477e-008
1.4,1.01182e-008
1.41,8.09454e-009
1.42,6.47563e-009
1.43,5.1805e-009
1.44,4.1444e-009
1.45,3.31552e-009
1.46,2.65242e-009
1.47,2.12193e-009
1.48,1.69755e-009
1.49,1.35804e-009
1.5,1.08643e-009
1.51,8.69144e-010
1.52,6.95316e-010
1.53,5.56252e-010
1.54,4.45002e-010
1.55,3.56002e-010
1.56,2.84801e-010
1.57,2.27841e-010
1.58,1.82273e-010
1.59,1.45818e-010
1.6,1.16655e-010
1.61,9.33237e-011
1.62,7.46589e-011
1.63,5.97272e-011
1.64,4.77817e-011
1.65,3.82254e-011
1.66,3.05803e-011
1.67,2.44642e-011
1.68,1.95714e-011
1.69,1.56571e-011
1.7,1.25257e-011
1.71,1.00206e-011
1.72,8.01644e-012
1.73,6.41315e-012
1.74,5.13052e-012
1.75,4.10442e-012
1.76,3.28353e-012
1.77,2.62683e-012
1.78,2.10146e-012
1.79,1.68117e-012
1.8,1.34494e-012
1.81,1.07595e-012
1.82,8.60759e-013
1.83,6.88607e-013
1.84,5.50886e-013
1.85,4.40709e-013
1.86,3.52567e-013
1.87,2.82054e-013
1.88,2.25643e-013
1.89,1.80514e-013
1.9,1.44411e-013
1.91,1.15529e-013
1.92,9.24233e-014
1.93,7.39386e-014
1.94,5.91509e-014
1.95,4.73207e-014
1.96,3.78566e-014
1.97,3.02853e-014
1.98,2.42282e-014
1.99,1.93826e-014
2,1.55061e-014
2.01,1.24048e-014
2.02,9.92388e-015
2.03,7.9391e-015
2.04,6.35128e-015
2.05,5.08102e-015
2.06,4.06482e-015
2.07,3.25186e-015
2.08,2.60148e-015
2.09,2.08119e-015
2.1,1.66495e-015
2.11,1.33196e-015
2.12,1.06557e-015
2.13,8.52454e-016
2.14,6.81964e-016
2.15,5.45571e-016
2.16,4.36457e-016
2.17,3.49165e-016
2.18,2.79332e-016
2.19,2.23466e-016
2.2,1.78773e-016
2.21,1.43018e-016
2.22,1.14414e-016
2.23,9.15316e-017
2.24,7.32253e-017
2.25,5.85802e-017
2.26,4.68642e-017
2.27,3.74913e-017
2.28,2.99931e-017
2.29,2.39945e-017
2.3,1.91956e-017
2.31,1.53565e-017
2.32,1.22852e-017
2.33,9.82813e-018
2.34,7.8625e-018
2.35,6.29e-018
2.36,5.032e-018
2.37,4.0256e-018
2.38,3.22048e-018
2.39,2.57639e-018
2.4,2.06111e-018
2.41,1.64889e-018
2.42,1.31911e-018
2.43,1.05529e-018
2.44,8.4423e-019
2.45,6.75384e-019
2.46,5.40307e-019
2.47,4.32246e-019
2.48,3.45797e-019
2.49,2.76637e-019
2.5,2.2131e-019
2.51,1.77048e-019
2.52,1.41638e-019
2.53,1.13311e-019
2.54,9.06485e-020
2.55,7.25188e-020
2.56,5.8015e-020
2.57,4.6412e-020
2.58,3.71296e-020
2.59,2.97037e-020
2.6,2.3763e-020
2.61,1.90104e-020
2.62,1.52083e-020
2.63,1.21666e-020
2.64,9.73331e-021
2.65,7.78665e-021
2.66,6.22932e-021
2.67,4.98345e-021
2.68,3.98676e-021
2.69,3.18941e-021
2.7,2.55153e-021
2.71,2.04122e-021
2.72,1.63298e-021
2.73,1.30638e-021
2.74,1.04511e-021
2.75,8.36085e-022
2.76,6.68868e-022
2.77,5.35094e-022
2.78,4.28075e-022
2.79,3.4246e-022
2.8,2.73968e-022
2.81,2.19175e-022
2.82,1.7534e-022
2.83,1.40272e-022
2.84,1.12217e-022
2.85,8.97739e-023
2.86,7.18191e-023
2.87,5.74553e-023
2.88,4.59643e-023
2.89,3.67714e-023
2.9,2.94171e-023
2.91,2.35337e-023
2.92,1.8827e-023
2.93,1.50616e-023
2.94,1.20493e-023
2.95,9.6394e-024
2.96,7.71152e-024
2.97,6.16922e-024
2.98,4.93537e-024
