Time,Substrate
0,4.9697
0.01,4.93941
0.02,4.90914
0.03,4.87889
0.04,4.84865
0.05,4.81844
0.06,4.78824
0.07,4.75806
0.08,4.72789
0.09,4.69775
0.1,4.66762
0.11,4.63751
0.12,4.60742
0.13,4.57735
0.14,4.5473
0.15,4.51727
0.16,4.48726
0.17,4.45727
0.18,4.4273
0.19,4.39735
0.2,4.36742
0.21,4.33751
0.22,4.30762
0.23,4.27775
0.24,4.24791
0.25,4.21808
0.26,4.18828
0.27,4.1585
0.28,4.12875
0.29,4.09902
0.3,4.06931
0.31,4.03962
0.32,4.00996
0.33,3.98032
0.34,3.95071
0.35,3.92112
0.36,3.89156
0.37,3.86202
0.38,3.83251
0.39,3.80302
0.4,3.77356
0.41,3.74413
0.42,3.71472
0.43,3.68534
0.44,3.65599
0.45,3.62667
0.46,3.59737
0.47,3.56811
0.48,3.53887
0.49,3.50966
0.5,3.48049
0.51,3.45134
0.52,3.42222
0.53,3.39314
0.54,3.36409
0.55,3.33507
0.56,3.30608
0.57,3.27713
0.58,3.2482
0.59,3.21932
0.6,3.19047
0.61,3.16165
0.62,3.13287
0.63,3.10412
0.64,3.07541
0.65,3.04674
0.66,3.01811
0.67,2.98951
0.68,2.96095
0.69,2.93244
0.7,2.90396
0.71,2.87552
0.72,2.84713
0.73,2.81877
0.74,2.79046
0.75,2.76219
0.76,2.73397
0.77,2.70579
0.78,2.67765
0.79,2.64956
0.8,2.62152
0.81,2.59353
0.82,2.56558
0.83,2.53769
0.84,2.50984
0.85,2.48204
0.86,2.4543
0.87,2.42661
0.88,2.39897
0.89,2.37139
0.9,2.34386
0.91,2.31638
0.92,2.28897
0.93,2.26161
0.94,2.23431
0.95,2.20707
0.96,2.1799
0.97,2.15278
0.98,2.12573
0.99,2.09875
1,2.07183
1.01,2.04497
1.02,2.01819
1.03,1.99148
1.04,1.96483
1.05,1.93826
1.06,1.91176
1.07,1.88534
1.08,1.85899
1.09,1.83272
1.1,1.80654
1.11,1.78043
1.12,1.7544
1.13,1.72846
1.14,1.70261
1.15,1.67684
1.16,1.65117
1.17,1.62558
1.18,1.60009
1.19,1.57469
1.2,1.54939
1.21,1.52419
1.22,1.49909
1.23,1.47409
1.24,1.4492
1.25,1.42442
1.26,1.39975
1.27,1.37519
1.28,1.35074
1.29,1.32641
1.3,1.30221
1.31,1.27812
1.32,1.25416
1.33,1.23033
1.34,1.20663
1.35,1.18306
1.36,1.15963
1.37,1.13634
1.38,1.11319
1.39,1.09019
1.4,1.06734
1.41,1.04464
1.42,1.02209
1.43,0.999709
1.44,0.977489
1.45,0.955436
1.46,0.933554
1.47,0.911847
1.48,0.890319
1.49,0.868973
1.5,0.847814
1.51,0.826847
1.52,0.806074
1.53,0.785502
1.54,0.765134
1.55,0.744974
1.56,0.725028
1.57,0.7053
1.58,0.685794
1.59,0.666516
1.6,0.647471
1.61,0.628662
1.62,0.610095
1.63,0.591776
1.64,0.573708
1.65,0.555897
1.66,0.538348
1.67,0.521066
1.68,0.504056
1.69,0.487322
1.7,0.470869
1.71,0.454702
1.72,0.438826
1.73,0.423246
1.74,0.407965
1.75,0.392987
1.76,0.378318
1.77,0.36396
1.78,0.349918
1.79,0.336194
1.8,0.322793
1.81,0.309716
1.82,0.296966
1.83,0.284545
1.84,0.272455
1.85,0.260698
1.86,0.249275
1.87,0.238185
1.88,0.22743
1.89,0.217008
1.9,0.206919
1.91,0.197162
1.92,0.187736
1.93,0.178636
1.94,0.169862
1.95,0.16141
1.96,0.153275
1.97,0.145454
1.98,0.137942
1.99,0.130735
2,0.123826
2.01,0.117209
2.02,0.110879
2.03,0.104829
2.04,0.0990514
2.05,0.0935399
2.06,0.0882867
2.07,0.0832842
2.08,0.0785247
2.09,0.0740003
2.1,0.0697029
2.11,0.0656246
2.12,0.0617572
2.13,0.0580927
2.14,0.054623
2.15,0.0513401
2.16,0.0482361
2.17,0.0453033
2.18,0.042534
2.19,0.0399207
2.2,0.0374561
2.21,0.0351331
2.22,0.0329446
2.23,0.0308841
2.24,0.0289449
2.25,0.0271209
2.26,0.0254058
2.27,0.023794
2.28,0.0222798
2.29,0.0208578
2.3,0.019523
2.31,0.0182704
2.32,0.0170953
2.33,0.0159933
2.34,0.0149601
2.35,0.0139917
2.36,0.0130844
2.37,0.0122343
2.38,0.0114382
2.39,0.0106927
2.4,0.00999476
2.41,0.0093415
2.42,0.00873016
2.43,0.00815813
2.44,0.00762299
2.45,0.00712242
2.46,0.00665426
2.47,0.00621647
2.48,0.00580713
2.49,0.00542443
2.5,0.00506668
2.51,0.00473229
2.52,0.00441977
2.53,0.0041277
2.54,0.00385477
2.55,0.00359975
2.56,0.00336148
2.57,0.00313888
2.58,0.00293093
2.59,0.00273667
2.6,0.00255522
2.61,0.00238574
2.62,0.00222744
2.63,0.00207961
2.64,0.00194154
2.65,0.0018126
2.66,0.0016922
2.67,0.00157977
2.68,0.00147478
2.69,0.00137675
2.7,0.00128522
2.71,0.00119976
2.72,0.00111997
2.73,0.00104547
2.74,0.000975917
