Time,Substrate
0,4.90909
0.01,4.81833
0.02,4.72774
0.03,4.6373
0.04,4.54703
0.05,4.45694
0.06,4.36703
0.07,4.2773
0.08,4.18777
0.09,4.09843
0.1,4.00931
0.11,3.92039
0.12,3.8317
0.13,3.74325
0.14,3.65503
0.15,3.56706
0.16,3.47936
0.17,3.39192
0.18,3.30477
0.19,3.21791
0.2,3.13136
0.21,3.04513
0.22,2.95923
0.23,2.87369
0.24,2.78851
0.25,2.70371
0.26,2.61932
0.27,2.53535
0.28,2.45182
0.29,2.36876
0.3,2.28619
0.31,2.20413
0.32,2.12262
0.33,2.04169
0.34,1.96136
0.35,1.88168
0.36,1.80267
0.37,1.72438
0.38,1.64686
0.39,1.57015
0.4,1.4943
0.41,1.41938
0.42,1.34543
0.43,1.27252
0.44,1.20073
0.45,1.13013
0.46,1.0608
0.47,0.992834
0.48,0.926328
0.49,0.861383
0.5,0.79811
0.51,0.736628
0.52,0.67706
0.53,0.619539
0.54,0.5642
0.55,0.511184
0.56,0.460631
0.57,0.41268
0.58,0.367464
0.59,0.325103
0.6,0.285701
0.61,0.249339
0.62,0.216064
0.63,0.18589
0.64,0.158788
0.65,0.134685
0.66,0.113464
0.67,0.0949688
0.68,0.0790068
0.69,0.0653616
0.7,0.0538006
0.71,0.0440858
0.72,0.035983
0.73,0.0292696
0.74,0.0237394
0.75,0.0192067
0.76,0.0155075
0.77,0.0124993
0.78,0.0100604
0.79,0.008088
0.8,0.00649615
0.81,0.00521358
0.82,0.00418163
0.83,0.00335224
0.84,0.00268626
0.85,0.00215188
0.86,0.00172334
0.87,0.00137986
0.88,0.00110465
0.89,0.000884205
0.9,0.000707676
0.91,0.000566341
0.92,0.000453201
0.93,0.000362643
0.94,0.000290167
0.95,0.000232167
0.96,0.000185755
0.97,0.000148618
0.98,0.000118903
0.99,9.51E-05
1,7.61E-05
1.01,6.09E-05
1.02,4.87E-05
1.03,3.90E-05
1.04,3.12E-05
1.05,2.49E-05
1.06,2.00E-05
1.07,1.60E-05
1.08,1.28E-05
1.09,1.02E-05
1.1,8.17E-06
1.11,6.54E-06
1.12,5.23E-06
1.13,4.18E-06
1.14,3.35E-06
1.15,2.68E-06
1.16,2.14E-06
1.17,1.71E-06
1.18,1.37E-06
1.19,1.10E-06
1.2,8.78E-07
1.21,7.02E-07
1.22,5.62E-07
1.23,4.49E-07
1.24,3.59E-07
1.25,2.88E-07
1.26,2.30E-07
1.27,1.84E-07
1.28,1.47E-07
1.29,1.18E-07
1.3,9.42E-08
1.31,7.54E-08
1.32,6.03E-08
1.33,4.82E-08
1.34,3.86E-08
1.35,3.09E-08
1.36,2.47E-08
1.37,1.98E-08
1.38,1.58E-08
1.39,1.26E-08
1.4,1.01E-08
1.41,8.09E-09
1.42,6.48E-09
1.43,5.18E-09
1.44,4.14E-09
1.45,3.32E-09
1.46,2.65E-09
1.47,2.12E-09
1.48,1.70E-09
1.49,1.36E-09
1.5,1.09E-09
1.51,8.69E-10
1.52,6.95E-10
1.53,5.56E-10
1.54,4.45E-10
1.55,3.56E-10
1.56,2.85E-10
1.57,2.28E-10
1.58,1.82E-10
1.59,1.46E-10
1.6,1.17E-10
1.61,9.33E-11
1.62,7.47E-11
1.63,5.97E-11
1.64,4.78E-11
1.65,3.82E-11
1.66,3.06E-11
1.67,2.45E-11
1.68,1.96E-11
1.69,1.57E-11
1.7,1.25E-11
1.71,1.00E-11
1.72,8.02E-12
1.73,6.41E-12
1.74,5.13E-12
1.75,4.10E-12
1.76,3.28E-12
1.77,2.63E-12
1.78,2.10E-12
1.79,1.68E-12
1.8,1.34E-12
1.81,1.08E-12
1.82,8.61E-13
1.83,6.89E-13
1.84,5.51E-13
1.85,4.41E-13
1.86,3.53E-13
1.87,2.82E-13
1.88,2.26E-13
1.89,1.81E-13
1.9,1.44E-13
1.91,1.16E-13
1.92,9.24E-14
1.93,7.39E-14
1.94,5.92E-14
1.95,4.73E-14
1.96,3.79E-14
1.97,3.03E-14
1.98,2.42E-14
1.99,1.94E-14
2,1.55E-14
2.01,1.24E-14
2.02,9.92E-15
2.03,7.94E-15
2.04,6.35E-15
2.05,5.08E-15
2.06,4.06E-15
2.07,3.25E-15
2.08,2.60E-15
2.09,2.08E-15
2.1,1.66E-15
2.11,1.33E-15
2.12,1.07E-15
2.13,8.52E-16
2.14,6.82E-16
2.15,5.46E-16
2.16,4.36E-16
2.17,3.49E-16
2.18,2.79E-16
2.19,2.23E-16
2.2,1.79E-16
2.21,1.43E-16
2.22,1.14E-16
2.23,9.15E-17
2.24,7.32E-17
2.25,5.86E-17
2.26,4.69E-17
2.27,3.75E-17
2.28,3.00E-17
2.29,2.40E-17
2.3,1.92E-17
2.31,1.54E-17
2.32,1.23E-17
2.33,9.83E-18
2.34,7.86E-18
2.35,6.29E-18
2.36,5.03E-18
2.37,4.03E-18
2.38,3.22E-18
2.39,2.58E-18
2.4,2.06E-18
2.41,1.65E-18
2.42,1.32E-18
2.43,1.06E-18
2.44,8.44E-19
2.45,6.75E-19
2.46,5.40E-19
2.47,4.32E-19
2.48,3.46E-19
2.49,2.77E-19
2.5,2.21E-19
2.51,1.77E-19
2.52,1.42E-19
2.53,1.13E-19
2.54,9.06E-20
2.55,7.25E-20
2.56,5.80E-20
2.57,4.64E-20
2.58,3.71E-20
2.59,2.97E-20
2.6,2.38E-20
2.61,1.90E-20
2.62,1.52E-20
2.63,1.22E-20
2.64,9.73E-21
2.65,7.79E-21
2.66,6.23E-21
2.67,4.98E-21
2.68,3.99E-21
2.69,3.19E-21
2.7,2.55E-21
2.71,2.04E-21
2.72,1.63E-21
2.73,1.31E-21
2.74,1.05E-21
